,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
7611,S22168900014,11/04/2014,4474,Bucky's Express #34 / Council Bluffs,3501 W BROADWAY ST,COUNCIL BLUFFS,51501,"3501 W BROADWAY ST
COUNCIL BLUFFS 51501
(41.261926, -95.902044)",78.0,Pottawattamie,1022100.0,TEQUILA,395,Proximo,89199,Jose Cuervo Especial Reposado Square,12,375,$5.50,$8.25,12,$99.00,4.5,1.19
7612,S19270400017,06/02/2014,4223,STATION MART LIQUOR AND TOBACCO,1119 RIVER FOREST RD,EVANSDALE,50707,"1119 RIVER FOREST RD
EVANSDALE 50707
(42.462807, -92.297765)",7.0,Black Hawk,1031080.0,VODKA 80 PROOF,55,Sazerac North America,35315,Barton Vodka Pet,12,750,$3.37,$5.05,12,$60.60,9.0,2.38
7613,S04523100153,03/13/2012,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,"2890 DEVILS GLEN ROAD
BETTENDORF 52722
(41.552406, -90.483701)",82.0,Scott,1022100.0,TEQUILA,395,Proximo,89193,Jose Cuervo Especial Reposado Tequila,48,200,$3.00,$4.49,4,$17.96,0.8,0.21
7614,S09019600165,11/17/2012,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,"509 E PLATT
MAQUOKETA 52060
(42.069219, -90.661269)",49.0,Jackson,1081230.0,WHITE CREME DE CACAO,434,Luxco-St Louis,78616,Arrow Creme de Cacao White,12,750,$4.50,$6.75,3,$20.25,2.25,0.59
7615,S07180300001,08/21/2012,4438,Kum & Go #214  Ames,111 DUFF AVE,AMES,50010,"111 DUFF AVE
AMES 50010
(42.023592, -93.610396)",85.0,Story,1032080.0,IMPORTED VODKA,115,"Constellation Wine Company, Inc.",34820,Svedka Vodka,12,750,$7.97,$11.95,12,$143.40,9.0,2.38
7616,S12518400033,06/03/2013,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,"1923 5TH AVE S
FORT DODGE 50501
(42.501162, -94.171822)",94.0,Webster,1032080.0,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,$15.00,$22.49,6,$134.94,6.0,1.59
7617,S18527800011,04/21/2014,2575,Hy-Vee Food Store #1 / Waterloo,2834 Ansborough Ave,WATERLOO,50702,"2834 Ansborough Ave
WATERLOO 50702
(42.472607, -92.376643)",7.0,Black Hawk,1031080.0,VODKA 80 PROOF,380,Phillips Beverage Company,37348,Phillips Vodka,6,1750,$7.60,$11.40,6,$68.40,10.5,2.77
7618,S16503700003,12/26/2013,4683,New Star 3 / Waterloo,1459 ANSBOROUGH AVE,WATERLOO,50701,"1459 ANSBOROUGH AVE
WATERLOO 50701
(42.493091, -92.376863)",7.0,Black Hawk,1022100.0,TEQUILA,395,Proximo,89193,Jose Cuervo Especial Reposado Tequila,48,200,$3.00,$4.49,48,$215.52,9.6,2.54
7619,S22644800006,12/01/2014,3868,Wal-Mart 3630 / Marion,5491 BUSINESS HWY 151,MARION,52302,"5491 BUSINESS HWY 151
MARION 52302
",57.0,Linn,1071100.0,AMERICAN COCKTAILS,260,Diageo Americas,58801,Captain Morgan Long Island Iced Tea,6,1750,$11.00,$16.50,6,$99.00,10.5,2.77
7620,S23125600128,12/22/2014,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,"1025 NORTH QUINCY AVE
OTTUWMA 52501
(41.015384, -92.438455)",90.0,Wapello,1032200.0,IMPORTED VODKA - MISC,260,Diageo Americas,64746,Ciroc Coconut,24,200,$5.00,$7.50,4,$30.00,0.8,0.21
7621,S28250400017,10/05/2015,5171,Gary's Liquor & Wine LTD,"110, E JEFFERSON ST",DELAWARE,52036,"110, E JEFFERSON ST
DELAWARE 52036
(42.473764, -91.344117)",28.0,Delaware,1031200.0,VODKA FLAVORED,259,Heaven Hill Brands,41670,Burnett's Blue Raspberry Vodka,12,750,$4.18,$6.60,12,$79.20,9.0,2.38
7622,S05836300021,06/04/2012,4247,Fareway Stores #879 / Belmond,115 SECOND  AVE SE,BELMOND,50421,"115 SECOND AVE SE
BELMOND 50421
(42.845719, -93.614324)",,,1012100.0,CANADIAN WHISKIES,971,"Hood River Distillers, Inc.",14192,Pendleton Canadian Whisky,12,750,$13.10,$19.65,1,$19.65,0.75,0.2
7623,S05686000040,05/23/2012,4118,Lake View Redemption Center,502 5th Street,LAKE VIEW,51450,"502 5th Street
LAKE VIEW 51450
(42.307764, -95.051539)",81.0,Sac,1022100.0,TEQUILA,395,Proximo,89197,Jose Cuervo Especial Reposado Tequila,12,1000,$12.50,$18.74,12,$224.88,12.0,3.17
7624,S05165000003,04/23/2012,4033,"Mcgregor's Top Shelf, Llc",221 MAIN ST,MCGREGOR,52157,"221 MAIN ST
MCGREGOR 52157
(43.023979, -91.176172)",22.0,Clayton,1071100.0,AMERICAN COCKTAILS,65,Jim Beam Brands,63355,Skinnygirl Margarita,12,750,$7.69,$11.53,12,$138.36,9.0,2.38
7625,S17981500022,03/19/2014,3890,Smokin' Joe's #7 Tobacco and Liquor,904  1ST AVE NW,CEDAR RAPIDS,52405,"904 1ST AVE NW
CEDAR RAPIDS 52405
(41.972773, -91.683668)",57.0,Linn,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65251,Jagermeister Liqueur Mini,5,1200,$29.53,$44.30,2,$88.60,2.4,0.63
7626,S25179200025,04/21/2015,4551,Casey's General Store #2845 / Urband,201 SUNSET ST,URBANA,52345,"201 SUNSET ST
URBANA 52345
",6.0,Benton,1011100.0,BLENDED WHISKIES,260,Diageo Americas,25604,Seagrams 7 Crown Bl Whiskey,24,375,$3.50,$5.25,6,$31.50,2.25,0.59
7627,S25919900010,06/01/2015,3403,Econ-o-mart / Columbus Junction,113 EAST WALNUT ST.,COLUMBUS JUNCTION,52738,"113 EAST WALNUT ST.
COLUMBUS JUNCTION 52738
(41.280182, -91.358467)",58.0,Louisa,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,$5.23,$7.85,12,$94.20,9.0,2.38
7628,S08059800005,10/02/2012,3841,Hartig Drug Company #2 / Locust,157 LOCUST ST,DUBUQUE,52001,"157 LOCUST ST
DUBUQUE 52001
(42.495307, -90.665438)",31.0,Dubuque,1031080.0,VODKA 80 PROOF,300,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,$1.76,$2.63,24,$63.12,9.0,2.38
